姓名,國文,英文,數學,地理,歷史
李淑芳,84,59,49,75,82
程玫靖,72,64,49,61,52
劉旭士,87,53,61,58,54
陳建豪,54,81,91,69,86
陳倩妮,52,87,70,89,84
王志謙,61,62,99,52,48
黃善迪,49,95,79,80,67
黃淑芬,52,65,51,62,61
童建霖,64,99,76,95,52
吳志宣,48,85,79,58,46
陳怡容,62,76,82,97,90
賴又琦,93,81,74,59,100
鄭孟芳,55,95,76,80,60
盧冠發,79,72,72,80,63
謝水儒,59,81,48,76,63
張慧君,52,45,53,92,76
朱彥志,70,53,92,75,58
劉嘉泰,95,95,91,84,92
孫宜珊,85,74,80,71,64
張凱妮,90,90,47,89,62
楊韋廷,63,94,58,65,78
林佳人,79,82,64,60,89
陳樂紫,100,64,53,49,45
葉志峰,81,74,88,65,70
趙家豪,98,87,52,72,87
白美珍,82,88,97,58,71
林佳蓉,70,91,51,96,58
游淑惠,92,58,94,98,93
龔姵君,63,97,78,65,46
葉志峰,48,85,52,96,64
郎慧萍,84,58,91,100,63
游治旺,51,59,65,76,63
楊韻如,54,89,57,50,78
鄭孟芳,90,95,96,79,93
陳怡伶,97,80,94,94,86
梁柏宇,47,96,96,85,82
林珈發,72,68,100,58,56
陳孝邦,90,79,83,64,54
林冠蕙,72,96,63,100,74
王展人,57,93,56,78,79
李雅怡,95,91,63,59,98
黃江旭,56,88,79,49,53
黃心航,80,77,77,81,67
潘俊賢,90,47,92,94,65
周芷蓁,87,93,62,68,85
彭偉妃,58,76,59,95,83
蔡世馨,60,58,73,85,49
白世宏,45,56,72,71,67
鄭淑珍,73,78,96,45,91
游一鈺,71,91,52,73,67
